,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Naifaru,MV,82.72,broken clouds,5.44,73.37,Naifaru Residence Guest House
99,Dunda,IN,70.29,scattered clouds,30.62,78.32,Suman Hotel
100,Meulaboh,ID,80.76,overcast clouds,4.14,96.13,Kost Pria
105,Amarpur,IN,84.2,haze,23.52,91.65,Sagarika Parjatan Niwas
106,Garowe,SO,79.56,few clouds,8.41,48.48,Curubo Hotel
108,Butaritari,KI,84.87,few clouds,3.07,172.79,Isles Sunset Lodge
115,Mazagao,BR,80.6,clear sky,-0.12,-51.29,Casa Lima Santos
116,Victoria,BN,87.8,broken clouds,5.28,115.24,Tiara Labuan Hotel
117,Miramar,CR,73.4,scattered clouds,10.09,-84.73,Cabinas Dormi Bene - MIRAMAR COSTA RICA
121,Guozhen,CN,72.75,clear sky,29.3,113.14,South Lake Hotel
126,Okakarara,,75.76,overcast clouds,-20.59,17.46,"Okahitua, Omaboro City"
127,Voh,NC,72.45,clear sky,-20.95,164.69,Le gîte du Koniambo
130,Hilo,US,75.2,clear sky,19.71,-155.08,Hilo Seaside Hotel
137,Sal Rei,CV,75.2,scattered clouds,16.18,-22.92,Marine Club Beach Resort
140,Sao Filipe,CV,73.89,overcast clouds,14.9,-24.5,Tortuga B&B
143,Malindi,KE,82.4,scattered clouds,-3.22,40.12,African House Resort
144,Kavaratti,IN,86.0,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
147,Tanout,NE,77.95,clear sky,14.97,8.88,
156,Fonte Boa,BR,75.07,overcast clouds,-2.51,-66.09,Hotel Dona Antonia
160,Rock Sound,BS,79.7,clear sky,24.9,-76.2,Rock Sound Club
161,Tomatlan,MX,70.5,broken clouds,19.93,-105.25,Norma
162,Kimparana,ML,79.39,few clouds,12.83,-4.92,
166,Tucupita,VE,74.44,broken clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
173,Cabo San Lucas,MX,73.27,overcast clouds,22.89,-109.91,Tesoro Los Cabos
176,Moerai,PF,73.62,broken clouds,-22.43,-151.33,Le Manotel
183,Ishigaki,JP,78.8,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
185,Bilma,NE,75.79,clear sky,18.69,12.92,Expeditions Ténére voyages
186,Bowen,AU,86.0,clear sky,-20.01,148.25,Rose Bay Resort
190,Cairns,AU,82.4,scattered clouds,-16.92,145.77,Mantra Trilogy
191,Gunjur,GM,81.41,scattered clouds,13.18,-16.76,Boboi Beach Lodge
193,Lasa,CY,71.6,clear sky,34.92,32.53,Lasa Heights Hotel
199,Vanimo,PG,84.58,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
201,Pandan,PH,83.17,overcast clouds,11.72,122.09,Le Palme Beach Resort
